ExampleReversal-Daily4Sim,1983-06-23 00:00:00.000,13000,1000,14000
Portfolio-Daily4Sim,1983-06-23 00:00:00.000,-1400,1000,-400
Portfolio,1983-06-23 00:00:00.000,-15800,1000,-14800
ExampleOrder-Daily4Sim,1983-06-24 00:00:00.000,-4400,0,-4400
ExampleReversal-Daily4Sim,1983-06-24 00:00:00.000,13000,0,13000
Portfolio-Daily4Sim,1983-06-24 00:00:00.000,-1400,0,-1400
ExampleOrder-FullTick,1983-06-24 00:00:00.000,-4400,0,-4400
Portfolio,1983-06-24 00:00:00.000,-15800,0,-15800
Portfolio,1983-06-25 00:00:00.000,-15800,0,-15800
ExampleOrder-FullTick,1983-06-27 00:00:00.000,-4400,0,-4400
ExampleOrder-Daily4Sim,1983-06-27 00:00:00.000,-4400,0,-4400
ExampleReversal-Daily4Sim,1983-06-27 00:00:00.000,13000,0,13000
Portfolio-Daily4Sim,1983-06-27 00:00:00.000,-1400,0,-1400
Portfolio,1983-06-27 00:00:00.000,-15800,0,-15800
ExampleOrder-Daily4Sim,1983-06-28 00:00:00.000,-4400,0,-4400
ExampleOrder-FullTick,1983-06-28 00:00:00.000,-4400,0,-4400
ExampleReversal-Daily4Sim,1983-06-28 00:00:00.000,13000,-400,12600
Portfolio-Daily4Sim,1983-06-28 00:00:00.000,-1400,-400,-1800
Portfolio,1983-06-28 00:00:00.000,-15800,-400,-16200
ExampleOrder-FullTick,1983-06-29 00:00:00.000,-4400,0,-4400
ExampleOrder-Daily4Sim,1983-06-29 00:00:00.000,-4400,0,-4400
ExampleReversal-Daily4Sim,1983-06-29 00:00:00.000,13000,0,13000
Portfolio-Daily4Sim,1983-06-29 00:00:00.000,-1400,0,-1400
Portfolio,1983-06-29 00:00:00.000,-15800,0,-15800
ExampleOrder-FullTick,1983-06-30 00:00:00.000,-4400,400,-4000
ExampleOrder-Daily4Sim,1983-06-30 00:00:00.000,-4400,400,-4000
ExampleReversal-Daily4Sim,1983-06-30 00:00:00.000,13000,-1800,11200
Portfolio-Daily4Sim,1983-06-30 00:00:00.000,-2800,-1400,-4200
Portfolio,1983-06-30 00:00:00.000,-15800,-1000,-16800
ExampleOrder-FullTick,1983-07-01 00:00:00.000,-4400,100,-4300
ExampleOrder-Daily4Sim,1983-07-01 00:00:00.000,-4400,100,-4300
ExampleReversal-Daily4Sim,1983-07-01 00:00:00.000,10800,-700,10100
Portfolio-Daily4Sim,1983-07-01 00:00:00.000,-2800,-600,-3400
Portfolio,1983-07-01 00:00:00.000,-17200,-500,-17700
Portfolio,1983-07-02 00:00:00.000,-17200,-500,-17700
ExampleOrder-FullTick,1983-07-05 00:00:00.000,-5300,0,-5300
ExampleOrder-Daily4Sim,1983-07-05 00:00:00.000,-5300,0,-5300
ExampleReversal-Daily4Sim,1983-07-05 00:00:00.000,10800,-1500,9300
Portfolio-Daily4Sim,1983-07-05 00:00:00.000,-2800,-1500,-4300
Portfolio,1983-07-05 00:00:00.000,-17200,-1500,-18700
ExampleOrder-FullTick,1983-07-06 00:00:00.000,-5300,-800,-6100
ExampleOrder-Daily4Sim,1983-07-06 00:00:00.000,-5300,-800,-6100
ExampleReversal-Daily4Sim,1983-07-06 00:00:00.000,7800,-800,7000
Portfolio-Daily4Sim,1983-07-06 00:00:00.000,-7500,-1600,-9100
Portfolio,1983-07-06 00:00:00.000,-18100,-2400,-20500
ExampleOrder-FullTick,1983-07-07 00:00:00.000,-6800,0,-6800
ExampleOrder-Daily4Sim,1983-07-07 00:00:00.000,-6800,0,-6800
ExampleReversal-Daily4Sim,1983-07-07 00:00:00.000,7800,-2800,5000
Portfolio-Daily4Sim,1983-07-07 00:00:00.000,-7500,-2800,-10300
Portfolio,1983-07-07 00:00:00.000,-22800,-2800,-25600
ExampleOrder-FullTick,1983-07-08 00:00:00.000,-6800,0,-6800
ExampleOrder-Daily4Sim,1983-07-08 00:00:00.000,-6800,0,-6800
ExampleReversal-Daily4Sim,1983-07-08 00:00:00.000,5000,0,5000
Portfolio-Daily4Sim,1983-07-08 00:00:00.000,-11800,0,-11800
Portfolio,1983-07-08 00:00:00.000,-24300,0,-24300
Portfolio,1983-07-09 00:00:00.000,-28600,0,-28600
ExampleOrder-FullTick,1983-07-11 00:00:00.000,-6800,0,-6800
ExampleOrder-Daily4Sim,1983-07-11 00:00:00.000,-6800,0,-6800
ExampleReversal-Daily4Sim,1983-07-11 00:00:00.000,5000,2400,7400
Portfolio-Daily4Sim,1983-07-11 00:00:00.000,-11800,2400,-9400
Portfolio,1983-07-11 00:00:00.000,-28600,2400,-26200
ExampleOrder-FullTick,1983-07-12 00:00:00.000,-6800,0,-6800
ExampleOrder-Daily4Sim,1983-07-12 00:00:00.000,-6800,0,-6800
ExampleReversal-Daily4Sim,1983-07-12 00:00:00.000,5000,3200,8200
Portfolio-Daily4Sim,1983-07-12 00:00:00.000,-11800,3200,-8600
